LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,26-Feb-2020 00:27:54,0                 
Time,Ampl
-9.734855e-006,-1.6025
-9.734605e-006,-1.6025
-9.734355e-006,-1.6025
-9.734105e-006,-1.6025
-9.733855e-006,-1.6025
-9.733605e-006,-1.6025
-9.733355e-006,-1.6025
-9.733105e-006,-1.6025
-9.732855e-006,-1.6025
-9.732605e-006,-1.6025
-9.732355e-006,-1.6025
-9.732105e-006,-1.6025
-9.731855e-006,-1.6025
-9.731605e-006,-1.6025
-9.731355e-006,-1.6025
-9.731105e-006,-1.6025
-9.730855e-006,-1.6025
-9.730605e-006,-1.6025
-9.730355e-006,-1.6025
-9.730105e-006,-1.6025
-9.729855e-006,-1.6025
-9.729605e-006,-1.6025
-9.729355e-006,-1.6025
-9.729105e-006,-1.6025
-9.728855e-006,-1.6025
-9.728605e-006,-1.6025
-9.728355e-006,-1.6025
-9.728105e-006,-1.6025
-9.727855e-006,-1.6025
-9.727605e-006,-1.6025
-9.727355e-006,-1.6025
-9.727105e-006,-1.60583
-9.726855e-006,-1.6025
-9.726605e-006,-1.6025
-9.726355e-006,-1.6025
-9.726105e-006,-1.60583
-9.725855e-006,-1.6025
-9.725605e-006,-1.6025
-9.725355e-006,-1.6025
-9.725105e-006,-1.60583
-9.724855e-006,-1.6025
-9.724605e-006,-1.6025
-9.724355e-006,-1.6025
-9.724105e-006,-1.60583
-9.723855e-006,-1.6025
-9.723605e-006,-1.6025
-9.723355e-006,-1.6025
-9.723105e-006,-1.60583
-9.722855e-006,-1.6025
-9.722605e-006,-1.6025
-9.722355e-006,-1.6025
-9.722105e-006,-1.6025
-9.721855e-006,-1.6025
-9.721605e-006,-1.6025
-9.721355e-006,-1.6025
-9.721105e-006,-1.6025
-9.720855e-006,-1.6025
-9.720605e-006,-1.6025
-9.720355e-006,-1.6025
-9.720105e-006,-1.6025
-9.719855e-006,-1.6025
-9.719605e-006,-1.6025
-9.719355e-006,-1.6025
-9.719105e-006,-1.6025
-9.718855e-006,-1.6025
-9.718605e-006,-1.6025
-9.718355e-006,-1.6025
-9.718105e-006,-1.6025
-9.717855e-006,-1.6025
-9.717605e-006,-1.6025
-9.717355e-006,-1.6025
-9.717105e-006,-1.6025
-9.716855e-006,-1.6025
-9.716605e-006,-1.6025
-9.716355e-006,-1.6025
-9.716105e-006,-1.6025
-9.715855e-006,-1.6025
-9.715605e-006,-1.6025
-9.715355e-006,-1.6025
-9.715105e-006,-1.6025
-9.714855e-006,-1.6025
-9.714605e-006,-1.6025
-9.714355e-006,-1.6025
-9.714105e-006,-1.6025
-9.713855e-006,-1.6025
-9.713605e-006,-1.6025
-9.713355e-006,-1.6025
-9.713105e-006,-1.60583
-9.712855e-006,-1.6025
-9.712605e-006,-1.6025
-9.712355e-006,-1.6025
-9.712105e-006,-1.60583
-9.711855e-006,-1.6025
-9.711605e-006,-1.6025
-9.711355e-006,-1.6025
-9.711105e-006,-1.60583
-9.710855e-006,-1.6025
-9.710605e-006,-1.6025
-9.710355e-006,-1.6025
-9.710105e-006,-1.60583
-9.709855e-006,-1.6025
-9.709605e-006,-1.6025
-9.709355e-006,-1.6025
-9.709105e-006,-1.60583
-9.708855e-006,-1.6025
-9.708605e-006,-1.6025
-9.708355e-006,-1.6025
-9.708105e-006,-1.60583
-9.707855e-006,-1.6025
-9.707605e-006,-1.6025
-9.707355e-006,-1.6025
-9.707105e-006,-1.60583
-9.706855e-006,-1.6025
-9.706605e-006,-1.6025
-9.706355e-006,-1.6025
-9.706105e-006,-1.60583
-9.705855e-006,-1.6025
-9.705605e-006,-1.6025
-9.705355e-006,-1.6025
-9.705105e-006,-1.60583
-9.704855e-006,-1.6025
-9.704605e-006,-1.6025
-9.704355e-006,-1.6025
-9.704105e-006,-1.60583
-9.703855e-006,-1.6025
-9.703605e-006,-1.6025
-9.703355e-006,-1.6025
-9.703105e-006,-1.6025
-9.702855e-006,-1.6025
-9.702605e-006,-1.6025
-9.702355e-006,-1.6025
-9.702105e-006,-1.6025
-9.701855e-006,-1.6025
-9.701605e-006,-1.6025
-9.701355e-006,-1.6025
-9.701105e-006,-1.6025
-9.700855e-006,-1.6025
-9.700605e-006,-1.6025
-9.700355e-006,-1.6025
-9.700105e-006,-1.6025
-9.699855e-006,-1.6025
-9.699605e-006,-1.6025
-9.699355e-006,-1.6025
-9.699105e-006,-1.60583
-9.698855e-006,-1.6025
-9.698605e-006,-1.6025
-9.698355e-006,-1.6025
-9.698105e-006,-1.60583
-9.697855e-006,-1.6025
-9.697605e-006,-1.6025
-9.697355e-006,-1.6025
-9.697105e-006,-1.60583
-9.696855e-006,-1.6025
-9.696605e-006,-1.6025
-9.696355e-006,-1.6025
-9.696105e-006,-1.60583
-9.695855e-006,-1.6025
-9.695605e-006,-1.6025
-9.695355e-006,-1.6025
-9.695105e-006,-1.60583
-9.694855e-006,-1.6025
-9.694605e-006,-1.6025
-9.694355e-006,-1.6025
-9.694105e-006,-1.60583
-9.693855e-006,-1.6025
-9.693605e-006,-1.6025
-9.693355e-006,-1.6025
-9.693105e-006,-1.60583
-9.692855e-006,-1.6025
-9.692605e-006,-1.6025
-9.692355e-006,-1.6025
-9.692105e-006,-1.60583
-9.691855e-006,-1.6025
-9.691605e-006,-1.6025
-9.691355e-006,-1.6025
-9.691105e-006,-1.60583
-9.690855e-006,-1.6025
-9.690605e-006,-1.6025
-9.690355e-006,-1.6025
-9.690105e-006,-1.60583
-9.689855e-006,-1.6025
-9.689605e-006,-1.6025
-9.689355e-006,-1.6025
-9.689105e-006,-1.6025
-9.688855e-006,-1.6025
-9.688605e-006,-1.6025
-9.688355e-006,-1.6025
-9.688105e-006,-1.60583
-9.687855e-006,-1.6025
-9.687605e-006,-1.6025
-9.687355e-006,-1.6025
-9.687105e-006,-1.60583
-9.686855e-006,-1.6025
-9.686605e-006,-1.6025
-9.686355e-006,-1.6025
-9.686105e-006,-1.60583
-9.685855e-006,-1.6025
-9.685605e-006,-1.6025
-9.685355e-006,-1.6025
-9.685105e-006,-1.60583
-9.684855e-006,-1.6025
-9.684605e-006,-1.6025
-9.684355e-006,-1.6025
-9.684105e-006,-1.60583
-9.683855e-006,-1.6025
-9.683605e-006,-1.6025
-9.683355e-006,-1.6025
-9.683105e-006,-1.6025
-9.682855e-006,-1.6025
-9.682605e-006,-1.6025
-9.682355e-006,-1.6025
-9.682105e-006,-1.6025
-9.681855e-006,-1.6025
-9.681605e-006,-1.6025
-9.681355e-006,-1.6025
-9.681105e-006,-1.6025
-9.680855e-006,-1.6025
-9.680605e-006,-1.6025
-9.680355e-006,-1.6025
-9.680105e-006,-1.6025
-9.679855e-006,-1.6025
-9.679605e-006,-1.6025
-9.679355e-006,-1.6025
-9.679105e-006,-1.6025
-9.678855e-006,-1.6025
-9.678605e-006,-1.6025
-9.678355e-006,-1.6025
-9.678105e-006,-1.6025
-9.677855e-006,-1.6025
-9.677605e-006,-1.6025
-9.677355e-006,-1.6025
-9.677105e-006,-1.6025
-9.676855e-006,-1.6025
-9.676605e-006,-1.6025
-9.676355e-006,-1.6025
-9.676105e-006,-1.6025
-9.675855e-006,-1.6025
-9.675605e-006,-1.6025
-9.675355e-006,-1.6025
-9.675105e-006,-1.6025
-9.674855e-006,-1.6025
-9.674605e-006,-1.6025
-9.674355e-006,-1.6025
-9.674105e-006,-1.6025
-9.673855e-006,-1.6025
-9.673605e-006,-1.6025
-9.673355e-006,-1.6025
-9.673105e-006,-1.60583
-9.672855e-006,-1.6025
-9.672605e-006,-1.6025
-9.672355e-006,-1.6025
-9.672105e-006,-1.60583
-9.671855e-006,-1.6025
-9.671605e-006,-1.6025
-9.671355e-006,-1.6025
-9.671105e-006,-1.60583
-9.670855e-006,-1.6025
-9.670605e-006,-1.6025
-9.670355e-006,-1.6025
-9.670105e-006,-1.60583
-9.669855e-006,-1.6025
-9.669605e-006,-1.6025
-9.669355e-006,-1.6025
-9.669105e-006,-1.60583
-9.668855e-006,-1.6025
-9.668605e-006,-1.6025
-9.668355e-006,-1.6025
-9.668105e-006,-1.6025
-9.667855e-006,-1.6025
-9.667605e-006,-1.6025
-9.667355e-006,-1.6025
-9.667105e-006,-1.6025
-9.666855e-006,-1.6025
-9.666605e-006,-1.6025
-9.666355e-006,-1.6025
-9.666105e-006,-1.6025
-9.665855e-006,-1.6025
-9.665605e-006,-1.6025
-9.665355e-006,-1.6025
-9.665105e-006,-1.6025
-9.664855e-006,-1.6025
-9.664605e-006,-1.6025
-9.664355e-006,-1.6025
-9.664105e-006,-1.6025
-9.663855e-006,-1.6025
-9.663605e-006,-1.6025
-9.663355e-006,-1.6025
-9.663105e-006,-1.6025
-9.662855e-006,-1.6025
-9.662605e-006,-1.6025
-9.662355e-006,-1.6025
-9.662105e-006,-1.6025
-9.661855e-006,-1.6025
-9.661605e-006,-1.6025
-9.661355e-006,-1.6025
-9.661105e-006,-1.6025
-9.660855e-006,-1.6025
-9.660605e-006,-1.6025
-9.660355e-006,-1.6025
-9.660105e-006,-1.6025
-9.659855e-006,-1.6025
-9.659605e-006,-1.6025
-9.659355e-006,-1.6025
-9.659105e-006,-1.6025
-9.658855e-006,-1.6025
-9.658605e-006,-1.6025
-9.658355e-006,-1.6025
-9.658105e-006,-1.6025
-9.657855e-006,-1.6025
-9.657605e-006,-1.6025
-9.657355e-006,-1.6025
-9.657105e-006,-1.6025
-9.656855e-006,-1.6025
-9.656605e-006,-1.6025
-9.656355e-006,-1.6025
-9.656105e-006,-1.6025
-9.655855e-006,-1.6025
-9.655605e-006,-1.6025
-9.655355e-006,-1.6025
-9.655105e-006,-1.6025
-9.654855e-006,-1.6025
-9.654605e-006,-1.6025
-9.654355e-006,-1.6025
-9.654105e-006,-1.6025
-9.653855e-006,-1.6025
-9.653605e-006,-1.6025
-9.653355e-006,-1.6025
-9.653105e-006,-1.6025
-9.652855e-006,-1.6025
-9.652605e-006,-1.6025
-9.652355e-006,-1.6025
-9.652105e-006,-1.6025
-9.651855e-006,-1.6025
-9.651605e-006,-1.6025
-9.651355e-006,-1.6025
-9.651105e-006,-1.6025
-9.650855e-006,-1.6025
-9.650605e-006,-1.6025
-9.650355e-006,-1.6025
-9.650105e-006,-1.6025
-9.649855e-006,-1.6025
-9.649605e-006,-1.6025
-9.649355e-006,-1.6025
-9.649105e-006,-1.6025
-9.648855e-006,-1.6025
-9.648605e-006,-1.6025
-9.648355e-006,-1.6025
-9.648105e-006,-1.60583
-9.647855e-006,-1.6025
-9.647605e-006,-1.6025
-9.647355e-006,-1.6025
-9.647105e-006,-1.60583
-9.646855e-006,-1.6025
-9.646605e-006,-1.6025
-9.646355e-006,-1.6025
-9.646105e-006,-1.60583
-9.645855e-006,-1.6025
-9.645605e-006,-1.6025
-9.645355e-006,-1.6025
-9.645105e-006,-1.60583
-9.644855e-006,-1.6025
-9.644605e-006,-1.6025
-9.644355e-006,-1.6025
-9.644105e-006,-1.60583
-9.643855e-006,-1.6025
-9.643605e-006,-1.6025
-9.643355e-006,-1.6025
-9.643105e-006,-1.60583
-9.642855e-006,-1.6025
-9.642605e-006,-1.6025
-9.642355e-006,-1.6025
-9.642105e-006,-1.60583
-9.641855e-006,-1.6025
-9.641605e-006,-1.6025
-9.641355e-006,-1.6025
-9.641105e-006,-1.60583
-9.640855e-006,-1.6025
-9.640605e-006,-1.6025
-9.640355e-006,-1.6025
-9.640105e-006,-1.60583
-9.639855e-006,-1.6025
-9.639605e-006,-1.6025
-9.639355e-006,-1.6025
-9.639105e-006,-1.60583
-9.638855e-006,-1.6025
-9.638605e-006,-1.6025
-9.638355e-006,-1.6025
-9.638105e-006,-1.60583
-9.637855e-006,-1.6025
-9.637605e-006,-1.6025
-9.637355e-006,-1.6025
-9.637105e-006,-1.60583
-9.636855e-006,-1.6025
-9.636605e-006,-1.6025
-9.636355e-006,-1.6025
-9.636105e-006,-1.60583
-9.635855e-006,-1.6025
-9.635605e-006,-1.6025
-9.635355e-006,-1.6025
-9.635105e-006,-1.60583
-9.634855e-006,-1.6025
-9.634605e-006,-1.6025
-9.634355e-006,-1.6025
-9.634105e-006,-1.60583
-9.633855e-006,-1.6025
-9.633605e-006,-1.6025
-9.633355e-006,-1.6025
-9.633105e-006,-1.60583
-9.632855e-006,-1.6025
-9.632605e-006,-1.6025
-9.632355e-006,-1.6025
-9.632105e-006,-1.6025
-9.631855e-006,-1.6025
-9.631605e-006,-1.6025
-9.631355e-006,-1.6025
-9.631105e-006,-1.6025
-9.630855e-006,-1.6025
-9.630605e-006,-1.6025
-9.630355e-006,-1.6025
-9.630105e-006,-1.6025
-9.629855e-006,-1.6025
-9.629605e-006,-1.6025
-9.629355e-006,-1.6025
-9.629105e-006,-1.6025
-9.628855e-006,-1.6025
-9.628605e-006,-1.6025
-9.628355e-006,-1.6025
-9.628105e-006,-1.6025
-9.627855e-006,-1.6025
-9.627605e-006,-1.6025
-9.627355e-006,-1.6025
-9.627105e-006,-1.6025
-9.626855e-006,-1.6025
-9.626605e-006,-1.6025
-9.626355e-006,-1.6025
-9.626105e-006,-1.6025
-9.625855e-006,-1.6025
-9.625605e-006,-1.6025
-9.625355e-006,-1.6025
-9.625105e-006,-1.6025
-9.624855e-006,-1.6025
-9.624605e-006,-1.6025
-9.624355e-006,-1.6025
-9.624105e-006,-1.6025
-9.623855e-006,-1.6025
-9.623605e-006,-1.6025
-9.623355e-006,-1.6025
-9.623105e-006,-1.6025
-9.622855e-006,-1.6025
-9.622605e-006,-1.6025
-9.622355e-006,-1.6025
-9.622105e-006,-1.6025
-9.621855e-006,-1.6025
-9.621605e-006,-1.6025
-9.621355e-006,-1.6025
-9.621105e-006,-1.6025
-9.620855e-006,-1.6025
-9.620605e-006,-1.6025
-9.620355e-006,-1.6025
-9.620105e-006,-1.6025
-9.619855e-006,-1.6025
-9.619605e-006,-1.6025
-9.619355e-006,-1.6025
-9.619105e-006,-1.6025
-9.618855e-006,-1.6025
-9.618605e-006,-1.6025
-9.618355e-006,-1.6025
-9.618105e-006,-1.6025
-9.617855e-006,-1.6025
-9.617605e-006,-1.6025
-9.617355e-006,-1.6025
